gzceers_id,candels_id,ra,dec,z_candels,bar_type,vollim_flag
88111148,39583,214.865258,52.891662,0.007,No,False
88117030,14123,214.819011,52.799597,0.007,No,False
88105986,28267,214.933568,52.969565,0.007,No,False
88112317,28951,214.900133,52.94311,0.007,No,False
88107644,39099,214.958117,52.951051,0.007,No,False
88112888,22072,214.86817,52.872876,0.035,No,False
88112347,28579,214.834502,52.897101,0.048,No,False
88112381,28861,214.839191,52.90078,0.048,Weak,False
88114387,27734,214.780675,52.842114,0.053,No,False
88111472,27011,214.930747,52.944957,0.054,No,False
88118757,17202,214.809036,52.807761,0.06,No,False
88107779,23975,214.970618,52.957216,0.067,No,False
88111404,26601,214.906487,52.925824,0.069,No,False
88114602,30810,214.783806,52.849065,0.072,No,False
88110325,24956,214.88685,52.903485,0.12,No,False
88114075,26440,214.842171,52.876563,0.144,No,False
88110391,25386,214.868509,52.891036,0.144128,No,False
88116223,11243,214.854184,52.808582,0.157,No,False
88107324,26549,215.00019,52.985071,0.1594,Weak,False
88117662,18040,214.809968,52.808318,0.165,No,False
88114877,31270,214.825841,52.881807,0.174,No,False
88112483,25568,214.859672,52.88813,0.196,No,False
88107965,24146,215.023334,52.990441,0.202949,Weak,False
88111352,26767,214.8792,52.905512,0.203,Weak,False
88117255,15486,214.814801,52.800582,0.2081,Weak,False
88116398,11630,214.905548,52.847618,0.244,No,False
88118124,19948,214.805427,52.814735,0.2624,No,False
88113391,23328,214.777149,52.814118,0.2625,No,False
88113273,22560,214.809491,52.834048,0.2658,No,False
88108119,23057,215.017693,52.985344,0.2711,No,False
88115382,27825,214.792922,52.867727,0.279,Weak,False
88118500,21851,214.793788,52.815594,0.2837,Weak,False
88115407,28491,214.794418,52.869759,0.2839,Weak,False
88106009,28510,214.929346,52.965061,0.2842,No,False
88117771,17949,214.858251,52.84611,0.284804,No,False
88118332,21212,214.875521,52.866445,0.306,Weak,False
88118175,19551,214.806358,52.816942,0.31,No,False
88118025,37519,214.858248,52.851466,0.318,No,False
88115329,27905,214.767235,52.849133,0.3272,No,False
88117520,17188,214.834902,52.822493,0.344,Weak,False
88111479,27361,214.936226,52.948293,0.3473,No,False
88111420,27508,214.884491,52.910204,0.3487,Weak,False
88111421,27115,214.883607,52.909937,0.349321,No,False
88113399,24986,214.868884,52.871557,0.35,No,False
88106506,30682,214.960958,52.977548,0.3534,Weak,False
88117692,17990,214.832951,52.825405,0.3537,No,False
88106367,29600,215.005518,53.011897,0.3537,No,False
88108660,21735,214.983927,52.953488,0.354,Weak,False
88117914,18806,214.882072,52.865508,0.3541,Weak,False
88106144,28725,214.942452,52.971893,0.362,No,False
88114591,30762,214.750265,52.824106,0.367,Strong,False
88111670,31480,214.849807,52.892062,0.3715,No,False
88110257,25355,214.925732,52.928669,0.371615,Weak,False
88111306,26632,214.853522,52.885867,0.3717,Weak,False
88106625,31099,214.95442,52.969919,0.3729,No,False
88107845,23903,214.975172,52.959002,0.3783,No,False
88107383,25879,215.011096,52.992551,0.38594,No,False
88106766,31449,214.988745,52.990579,0.39,No,False
88113208,22407,214.78944,52.81868,0.408,Strong,False
88114463,31548,214.82999,52.879506,0.4348,No,False
88114004,27279,214.782633,52.831067,0.4409,No,False
88106622,31205,214.928752,52.952478,0.441371,Weak,False
88106729,31668,214.957804,52.969939,0.442,No,False
88114657,30749,214.815358,52.870973,0.448,No,False
88107753,24585,215.025499,52.996358,0.4488,Weak,False
88115191,29349,214.807845,52.87491,0.451669,No,False
88109817,23327,214.883818,52.89095,0.4519,No,False
88108022,23244,215.02435,52.991242,0.454,Weak,False
88111588,28642,214.868378,52.903167,0.461668,Weak,False
88105888,26235,214.958696,52.959279,0.4635,Strong,False
88117693,17714,214.832859,52.825842,0.466,Weak,False
88109959,23489,214.921152,52.919514,0.469,No,False
88111364,26994,214.925576,52.938559,0.49,Strong,False
88117025,14470,214.902215,52.857905,0.5,Weak,True
88107707,24320,214.948702,52.943249,0.5086,Weak,False
88111307,26567,214.850353,52.884693,0.509486,No,False
88109430,21473,214.890744,52.887682,0.5272,No,False
88116115,10796,214.898198,52.836786,0.5273,No,False
88116069,10522,214.89201,52.831296,0.541703,Weak,False
88111541,27416,214.909857,52.931438,0.5469,No,True
88112736,20766,214.879485,52.872904,0.5476,Weak,False
88115257,29176,214.773752,52.851934,0.5704,No,True
88106743,31782,215.003389,53.002036,0.574696,Weak,False
88105974,28384,214.921229,52.961748,0.577,No,False
88117128,14679,214.881905,52.846363,0.581,Weak,False
88111338,26493,214.850446,52.885267,0.582,No,False
88109879,23161,214.862367,52.876663,0.583,No,False
88106041,29291,214.942643,52.973951,0.5998,Weak,True
88118538,12955,214.916105,52.851825,0.627,No,True
88116396,11935,214.905978,52.847226,0.63,No,True
88109877,23848,214.871238,52.881743,0.6303,Weak,True
88118388,20631,214.822624,52.833477,0.632,No,True
88113624,24082,214.786461,52.826701,0.6446,Weak,False
88113829,24874,214.846,52.874488,0.648,No,False
88112279,29971,214.844006,52.901821,0.651,No,False
88114644,30888,214.803914,52.863669,0.65318,Strong,False
88111753,31402,214.898066,52.928259,0.656599,No,False
88115232,28937,214.830883,52.892361,0.658,No,True
88116871,13920,214.840149,52.810856,0.661,No,True
88111828,31021,214.910417,52.939146,0.668,No,False
88116777,13359,214.901344,52.852324,0.668139,Weak,False
88116612,13677,214.905265,52.850913,0.6703,No,True
88106674,31584,214.953321,52.968425,0.670873,No,False
88116598,12784,214.853172,52.815084,0.673,Strong,False
88113577,23897,214.787042,52.826067,0.683,Strong,False
88113201,22224,214.80099,52.827094,0.683937,No,True
88117652,17410,214.880611,52.859003,0.685,Weak,False
88117817,18099,214.888648,52.868906,0.6851,No,False
88107662,24979,214.956837,52.949089,0.6869,No,True
88108288,22482,214.969565,52.948835,0.69,No,False
88118253,19976,214.880001,52.871714,0.6913,No,False
88106726,31575,214.935791,52.954589,0.7066,No,False
88106820,28874,214.938723,52.954294,0.7097,Weak,True
88113021,21318,214.811112,52.830546,0.71,No,False
88116219,11633,214.882793,52.827814,0.71515,Weak,True
88108480,22467,214.984907,52.956815,0.7161,Weak,True
88112327,28527,214.835021,52.896394,0.721,No,True
88109724,22495,214.869251,52.872956,0.723,No,True
88118252,19843,214.879514,52.871595,0.726,No,False
88111337,26724,214.927246,52.939558,0.7298,No,False
88118498,21126,214.811052,52.828746,0.729904,No,False
88116855,13753,214.90893,52.85971,0.7301,No,True
88116665,12841,214.851552,52.815274,0.731,No,False
